"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"FBtr0070439",65.4775972170549,1.32974934335572,0.186483653665254,7.13064827517098,9.98972950606395e-13,6.85545187353638e-11,"egh"
"FBtr0086754",41.3365597271834,1.63496574073056,0.230358481018795,7.09748446638334,1.27048080796911e-12,8.62879130195926e-11,"fj"
"FBtr0445670",166.641431902184,0.904299385190563,0.127994829043478,7.06512436438653,1.60472210203313e-12,1.07876624573411e-10,"lncRNA:noe"
"FBtr0082595",217.255742127836,1.46545867816583,0.208349477784544,7.03365659347257,2.01189941205501e-12,1.33882760874934e-10,"Pp1-87B"
"FBtr0339820",72.493065641516,1.35295966885082,0.192822404859623,7.01661028362232,2.27315493457871e-12,1.49755447090045e-10,"CG1677"
"FBtr0089463",21.5581374400255,2.05303845099207,0.29331963426299,6.99932159724201,2.57204860101955e-12,1.67768873104127e-10,"AsnS"
"FBtr0304992",64.1245793814475,1.33318153316151,0.192662745923315,6.91976815119282,4.52383410381222e-12,2.92186461528577e-10,"CG32369"
"FBtr0082259",22.8443477778109,1.84382327590787,0.266592225931391,6.91626797993123,4.6369687427597e-12,2.96585923080591e-10,"Irp-1B"
"FBtr0087537",40.7770319135361,1.70654496722372,0.246927736529478,6.91111088292019,4.80872986245643e-12,3.04614541671759e-10,"Mdr50"
"FBtr0080434",41.561225950541,1.66751058067924,0.241669009846443,6.89997688052259,5.20110032527175e-12,3.26331894694193e-10,"Sirt1"
"FBtr0074043",14.8066407028741,2.28077283140792,0.330865127592863,6.89336119524345,5.44892862224321e-12,3.38656054371116e-10,"Gmap"
"FBtr0334868",27.1543794845503,1.68561202125627,0.24468040340178,6.88903564740487,5.61718636126996e-12,3.45850689234079e-10,"SP1029"
"FBtr0073641",190.131967945674,1.39463866390705,0.202566725604898,6.88483589662828,5.78541885359645e-12,3.52910550069383e-10,"Usp7"
"FBtr0088785",127.001229066216,1.33495624166083,0.193985156411918,6.88174428576443,5.9124077006949e-12,3.57348091120899e-10,"Pabp2"
"FBtr0076468",473.178115103156,1.70206028577742,0.248285406817685,6.85525705112117,7.11844026255643e-12,4.26329858633834e-10,"Jarid2"
"FBtr0303923",38.8628315935282,1.73623507119278,0.25397593242912,6.83621890699164,8.13106664546898e-12,4.82589793336483e-10,"d"
"FBtr0082403",147.615803168674,1.04307295218909,0.153062578875043,6.81468298688885,9.44718556621717e-12,5.55696950984274e-10,"RpL24-like"
"FBtr0072653",29.567356888332,-3.18263497857756,0.467911178829454,-6.80179299528465,1.03324997636095e-11,6.02393880023533e-10,"CG9129"
"FBtr0076457",61.654158112788,1.18969562986484,0.174998123291745,6.79833364773552,1.05836124366425e-11,6.11621392391237e-10,"aay"
"FBtr0071397",47.9832160798276,1.43084229449596,0.210570806343858,6.79506489688516,1.0826378261212e-11,6.20210260737954e-10,"CG15247"
"FBtr0346891",15.4289495619098,2.3336240007667,0.347674425028242,6.71209566414654,1.91848842652115e-11,1.08956911671736e-09,"28SrRNA-Psi:CR45855"
"FBtr0335497",170.79642385744,1.19064741865463,0.177426739281041,6.71064250788411,1.93769300982976e-11,1.09107021784261e-09,"mtgo"
"FBtr0083771",59.2084608376845,1.45214886655443,0.217067487903093,6.6898496895248,2.23399939257846e-11,1.2472532201955e-09,"Ino80"
"FBtr0346343",10.4468293909914,2.94877812252482,0.441271871379297,6.68245205230901,2.3497685566328e-11,1.30086346647873e-09,"Nlg4"
"FBtr0088800",68.3177223424552,-1.42226881039581,0.213463788038353,-6.66281069714863,2.68639597832969e-11,1.474831392103e-09,"CG30376"
"FBtr0088124",18.878819133458,1.98352305885874,0.298720489603156,6.64006363103452,3.1354776386466e-11,1.70715096557056e-09,"deltaTry"
"FBtr0114622",50.6109532087615,1.40362302973261,0.212164567041596,6.61572782536031,3.69728083381044e-11,1.99653165025764e-09,"tn"
"FBtr0110850",61.7232170914032,1.24736969771486,0.188963310736876,6.60112110044352,4.08060042045993e-11,2.18560939593415e-09,"LPCAT"
"FBtr0086811",135.849667434781,1.58791254897311,0.24067571334648,6.59772657113572,4.17510352883311e-11,2.21819210064133e-09,"CG5767"
